@Relation titanic
@ATTRIBUTE name string
@ATTRIBUTE classification {Anarchist,Anti-Globalization,Communist/Socialist,Environmental,Leftist,Nationalist/Separatist,Racist,Religious,Right-Wing_Conservative,Right-Wing_Reactionary,n/a,Other}
@ATTRIBUTE continent {Africa,Australia-Oceania,Central_America_and_Caribbean,Central_Asia,East_&_Southeast_Asia,Europe,Middle_East,North_America,South_America,South_Asia}
@ATTRIBUTE victimType {Abortion_Related,Airports_&_Airlines,Business,Educational_Institution,Food_or_Water_Supply,Government_(Diplomatic),Government_(General),Journalists_&_Media,Maritime,Military,NGO,Other,Police,Private_Citizens_&_Property,Religious_Figures/Institutions,Telecommunication,Terrorists,Tourists,Transportation,Unknown,Utilities,Violent_Political_Party}
@ATTRIBUTE attackType {Armed_Assault,Assassination,Bombing/Explosion,Facility/Infrastructure_Attack,Hijacking,Hostage_Taking_(Barricade_Incident),Hostage_Taking_(Kidnapping),Unarmed_Assault,Unknown}
@DATA
Gracchus_Babeuf,Leftist,Europe,Journalists_&_Media,Bombing/Explosion
Greek_Anti-Dictatorial_Youth_(EAN),Nationalist/Separatist,Europe,Government_(General),Bombing/Explosion
May_15_Organization_for_the_Liberation_of_Palestine,Nationalist/Separatist,Middle_East,Airports_&_Airlines,Bombing/Explosion
Black_Hand,Other,Middle_East,Business,Bombing/Explosion
Ansar_Allah,Religious,Central_America_and_Caribbean,Airports_&_Airlines,Bombing/Explosion
Anarchist_Struggle,Anarchist,Europe,Government_(Diplomatic),Facility/Infrastructure_Attack
United_Peoples_Democratic_Solidarity_(UPDS),Nationalist/Separatist,South_Asia,Private_Citizens_&_Property,Armed_Assault
June_16_Organization,Leftist,Middle_East,Government_(Diplomatic),Bombing/Explosion
Jammu_and_Kashmir_Islamic_Front,Religious,South_Asia,Business,Bombing/Explosion
Arab_Commando_Cells,Other,Middle_East,Private_Citizens_&_Property,Assassination
National_Youth_Resistance_Organization,Other,Europe,Business,Bombing/Explosion
Young_Liberators_of_Pattani,Nationalist/Separatist,East_&_Southeast_Asia,Private_Citizens_&_Property,Facility/Infrastructure_Attack
Coalition_of_National_Brigades,Leftist,Central_America_and_Caribbean,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
Taliban,Religious,South_Asia,Private_Citizens_&_Property,Bombing/Explosion
Conscientious_Arsonists_(CA),Communist/Socialist,Europe,Government_(Diplomatic),Bombing/Explosion
Proletarian_Nuclei_for_Communism,Communist/Socialist,Europe,Other,Bombing/Explosion
Movement_for_Democracy_and_Development_(MDD),Other,Africa,NGO,Hostage_Taking_(Kidnapping)
Popular_Revolutionary_Army,Communist/Socialist,North_America,Military,Armed_Assault
Black_Friday,Religious,Middle_East,Government_(Diplomatic),Bombing/Explosion
Gods_Army,Religious,East_&_Southeast_Asia,Business,Hijacking
Anti-Racist_Guerrilla_Nuclei,Leftist,Europe,Educational_Institution,Bombing/Explosion
Islamic_Movement_of_Uzbekistan_(IMU),Religious,Central_Asia,Tourists,Hostage_Taking_(Kidnapping)
Iraqi_Democratic_Front,Other,Europe,Airports_&_Airlines,Bombing/Explosion
Ansar_al-Islam,Religious,Middle_East,Police,Bombing/Explosion
Baloch_Liberation_Army_(BLA),Nationalist/Separatist,South_Asia,Utilities,Bombing/Explosion
Social_Resistance,Other,Europe,Government_(General),Bombing/Explosion
Tupac_Katari_Guerrilla_Army_(EGTK),Other,South_America,Utilities,Bombing/Explosion
Eastern_Turkistan_Islamic_Movement_(ETIM),Religious,East_&_Southeast_Asia,Police,Armed_Assault
Islamic_Movement_for_Change,Religious,Middle_East,Transportation,Bombing/Explosion
Autonomous_Decorators,Leftist,Europe,Government_(General),Armed_Assault
Black_Brigade,Religious,Middle_East,Business,Bombing/Explosion
Venceremos,Other,South_America,Business,Bombing/Explosion
Anti-Imperialist_Cell_(AIZ),Leftist,Europe,Government_(General),Bombing/Explosion
Peoples_Command,Communist/Socialist,South_America,Government_(Diplomatic),Bombing/Explosion
Students_Islamic_Movement_of_India_(SIMI),Religious,South_Asia,Private_Citizens_&_Property,Bombing/Explosion
The_Extraditables,Other,South_America,Business,Bombing/Explosion
Arnoldo_Camu_Command,Other,South_America,Government_(Diplomatic),Bombing/Explosion
Bersatu,Religious,East_&_Southeast_Asia,Business,Bombing/Explosion
Roque_Dalton_Commando,Communist/Socialist,Central_America_and_Caribbean,Government_(Diplomatic),Facility/Infrastructure_Attack
United_Revolutionary_Front,Other,Central_America_and_Caribbean,Government_(General),Bombing/Explosion
New_Revolutionary_Popular_Struggle_(NELA),Communist/Socialist,Europe,Business,Bombing/Explosion
Salafia_Jihadia,Religious,Africa,Private_Citizens_&_Property,Bombing/Explosion
National_Democratic_Front_of_Bodoland_(NDFB),Nationalist/Separatist,South_Asia,Private_Citizens_&_Property,Armed_Assault
Revolutionary_Nuclei,Communist/Socialist,Europe,Business,Bombing/Explosion
Orly_Organization,Nationalist/Separatist,Middle_East,Business,Bombing/Explosion
Jordanian_National_Liberation_Movement,Other,Africa,Airports_&_Airlines,Hijacking
Peoples_Liberation_Army_(PLA),Nationalist/Separatist,South_Asia,Private_Citizens_&_Property,Armed_Assault
Chilean_Committee_of_Support_for_the_Peruvian_Revolution,Communist/Socialist,South_America,Government_(Diplomatic),Armed_Assault
Islamic_Front_for_the_Liberation_of_Palestine_(IFLP),Nationalist/Separatist,Middle_East,Government_(Diplomatic),Facility/Infrastructure_Attack
Anti-Zionist_Movement,Right-Wing_Reactionary,Europe,Business,Bombing/Explosion
Maruseido_(Marxist_Youth_League),Communist/Socialist,East_&_Southeast_Asia,Government_(Diplomatic),Facility/Infrastructure_Attack
Sekihotai,Right-Wing_Conservative,East_&_Southeast_Asia,Business,Bombing/Explosion
Front_for_the_Liberation_of_the_French_Somali_Coast,Nationalist/Separatist,Africa,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
West_Nile_Bank_Front_(WNBF),Other,Africa,NGO,Unknown
National_Liberation_Union,Nationalist/Separatist,South_America,Telecommunication,Armed_Assault
Maoist_Communist_Center_(MCC),Communist/Socialist,South_Asia,Police,Armed_Assault
International_Solidarity,Anarchist,Europe,Religious_Figures/Institutions,Bombing/Explosion
